date;minimum;median;maximum;items
2018-05-12;1921.65;3042.35;4491.28;153
2018-05-18;1946.88;3078.88;4524.23;153
2018-05-20;1949.33;3080.88;4519.2;153
2018-05-21;1952.54;3088.53;4526.8;153
2018-05-23;1948.48;3083.67;4605.54;153
2018-05-24;1954.59;3093.63;4617;153
2018-05-25;1952.36;3088.95;4610.64;153
2018-05-26;1959.69;3101.69;4630.58;153
2018-05-27;1954.62;3093.02;4614.06;153
2018-05-28;1945.67;3078.97;4594.15;153
2018-05-29;1965.02;3109.8;4644.32;153
2018-05-30;1982.94;3120.53;4653.46;153
2018-06-01;1964.48;3092.93;4614.1;153
2018-06-02;1965.84;3095.06;4623.65;153
2018-06-03;1965.84;3095.26;4623.95;153
2018-06-05;1950.23;3087.23;4618.47;153
2018-06-06;1949.2;3083.86;4572.97;153
2018-06-09;1947.05;3083.69;4577.57;153
2018-06-10;1943.99;3048.94;4566.5;153
2018-06-11;1940.44;3043.92;4561.61;153
2018-06-12;1945.44;3051.31;4570.47;153
2018-06-13;1942.33;3046.37;4561.27;153
2018-06-14;1939.37;3042.58;4557.67;153
2018-06-15;1978.95;3104.86;4650.85;153
2018-06-17;1958.57;3062.29;4579.56;153
2018-06-18;1960.05;3064.34;4582.78;153
2018-06-20;1962.73;3068.36;4589.37;153
2018-06-22;1957.26;3053.16;4570.99;153
2018-06-23;1951.59;3044.32;4557.74;153
2018-06-24;1951.59;3044.32;4557.74;153
2018-06-25;1950.88;3043.17;4556.28;153
2018-06-26;1941.16;3028.04;4545.73;153
2018-06-27;1950.96;3043.28;4569.67;153
2018-06-28;1966.91;3068.18;4607.02;153
2018-06-29;1946.92;3043.27;4566.82;154
2018-07-02;1941.59;3046.08;4570.46;154
2018-07-03;1943.94;3049.7;4573.9;154
2018-07-08;1937.48;3018.98;4571.24;154
2018-07-10;1923.85;2993.71;4533.04;154
2018-07-13;1937.92;3013.92;4566.23;155
2018-07-14;1933.14;3006.43;4555.03;155
2018-07-16;1933.14;3006.43;4555.03;155
2018-07-17;1928.29;2989.11;4544.51;155
2018-07-18;1940.45;3007.97;4573.22;155
2018-07-24;1934.4;2999.48;4559.33;155
2018-07-25;1944.59;3025.9;4604.57;157
2018-07-29;1954.51;3039.94;4622.26;157
2018-08-03;1954.3;3043.63;4640.79;157
2018-08-04;1954.28;3043.72;4640.94;157
2018-08-08;1954.23;3043.66;4641.53;157
2018-08-10;1952.8;3079.3;4712.11;159
2018-08-11;1953.72;3082.72;4714.14;159
2018-08-14;1952.75;3081.53;4713.5;159
